cluster,keyword,monthly_volume,difficulty,cpc_usd,competition,opportunity
G - Adjacent tools and category,redx,60500,26.0,5.34,5,1680.6
G - Adjacent tools and category,follow up boss,60500,42.0,5.75,22,1163.5
F - Personas and roles,real estate agent training,14800,13.0,6.19,3,643.5
G - Adjacent tools and category,mojo dialer,9900,11.0,9.25,59,471.4
"H - Competitors, brand, and feature",sayso,8100,4.0,1.15,21,578.6
G - Adjacent tools and category,vulcan7,5400,13.0,1.93,45,234.8
G - Adjacent tools and category,real estate crm,5400,40.0,38.06,32,108.0
G - Adjacent tools and category,real estate lead generation,3600,16.0,43.78,45,138.5
G - Adjacent tools and category,batchdialer,1900,9.0,7.86,63,100.0
G - Adjacent tools and category,best real estate crm,1600,8.0,43.25,46,88.9
G - Adjacent tools and category,crm for realtors,1600,22.0,41.74,31,50.0
G - Adjacent tools and category,how to generate real estate leads,1000,9.0,41.71,44,52.6
F - Personas and roles,how to get started in real estate,1000,25.0,6.65,42,28.6
F - Personas and roles,coaching real estate agents,720,20.0,17.74,4,24.0
C - Scripts and lead types,expired listings,590,0.0,11.45,56,53.6
A - Product category / software,conversation intelligence software,590,6.0,27.24,14,36.9
G - Adjacent tools and category,real estate lead generation companies,590,29.0,51.71,41,15.1
G - Adjacent tools and category,ricochet360,480,18.0,19.94,43,17.1
G - Adjacent tools and category,ai for real estate agents,480,30.0,21.86,44,12.0
G - Adjacent tools and category,lofty real estate,480,61.0,2.43,26,6.8
B - Cold calling / prospecting,real estate cold calling,390,0.0,25.86,39,35.5
B - Cold calling / prospecting,real estate cold call,390,0.0,25.86,39,35.5
C - Scripts and lead types,real estate cold calling scripts,390,0.0,5.6,18,35.5
F - Personas and roles,real estate isa,390,0.0,18.93,27,35.5
B - Cold calling / prospecting,cold calling real estate,390,3.0,25.86,39,30.0
C - Scripts and lead types,cold calling scripts real estate,390,5.0,5.6,18,26.0
F - Personas and roles,isa real estate,390,6.0,18.93,27,24.4
C - Scripts and lead types,real estate cold call script,390,8.0,5.6,18,21.7
A - Product category / software,ai sales coaching,390,14.0,39.55,48,16.2
A - Product category / software,real estate ai tools,320,20.0,20.51,52,10.7
"H - Competitors, brand, and feature",shilo ai,320,,35.61,22,5.3
B - Cold calling / prospecting,prospecting in real estate,260,0.0,20.11,26,23.6
C - Scripts and lead types,expired listing scripts,260,0.0,5.67,33,23.6
C - Scripts and lead types,expired listing script,260,0.0,5.67,33,23.6
B - Cold calling / prospecting,real estate prospecting,260,2.0,20.11,26,21.7
"H - Competitors, brand, and feature",ai sales training,260,9.0,39.14,60,13.7
A - Product category / software,ai tools for real estate agents,260,25.0,12.57,18,7.4
C - Scripts and lead types,real estate scripts,210,1.0,5.2,20,19.1
C - Scripts and lead types,circle prospecting,210,0.0,20.97,38,19.1
C - Scripts and lead types,realtor scripts,210,3.0,5.2,20,16.2
G - Adjacent tools and category,redx real estate,210,17.0,9.78,63,7.8
F - Personas and roles,new real estate agent tips,170,0.0,4.01,16,15.5
G - Adjacent tools and category,real estate auto dialer,170,0.0,60.79,23,15.5
"H - Competitors, brand, and feature",maverickre,170,0.0,5.85,59,15.5
F - Personas and roles,tips for new real estate agents,170,2.0,4.01,16,14.2
A - Product category / software,cold calling software,170,8.0,60.06,25,9.4
G - Adjacent tools and category,real estate dialer,170,9.0,51.29,59,8.9
E - Call skills and conversion,how to get listings,140,0.0,20.57,17,12.7
E - Call skills and conversion,how to get more listings real estate,140,0.0,38.65,12,12.7
"H - Competitors, brand, and feature",maverick re,140,,5.89,55,2.3
C - Scripts and lead types,how to find expired listings,110,0.0,9.17,58,10.0
C - Scripts and lead types,geographic farming real estate,110,0.0,5.93,29,10.0
F - Personas and roles,inside sales agent real estate,110,0.0,20.4,19,10.0
F - Personas and roles,real estate inside sales agent,110,0.0,20.4,19,10.0
F - Personas and roles,real estate sales training,110,32.0,5.72,29,2.6
C - Scripts and lead types,door knocking scripts real estate,90,0.0,20.07,8,8.2
C - Scripts and lead types,open house scripts,90,0.0,8.89,8,8.2
"H - Competitors, brand, and feature",sales roleplay ai,90,4.0,48.27,77,6.4
A - Product category / software,ai real estate assistant,90,10.0,17.68,58,4.5
E - Call skills and conversion,real estate lead conversion,90,12.0,5.25,3,4.1
A - Product category / software,real estate ai software,90,56.0,28.52,22,1.4
C - Scripts and lead types,circle prospecting scripts,70,0.0,14.37,26,6.4
C - Scripts and lead types,pre foreclosure leads,70,0.0,23.43,47,6.4
B - Cold calling / prospecting,how to cold call real estate,70,3.0,18.59,47,5.4
B - Cold calling / prospecting,how to cold call in real estate,70,3.0,18.59,47,5.4
C - Scripts and lead types,for sale by owner scripts,70,4.0,7.0,10,5.0
"H - Competitors, brand, and feature",cold call practice,70,6.0,14.38,68,4.4
G - Adjacent tools and category,best dialer for real estate,70,8.0,47.36,41,3.9
G - Adjacent tools and category,real estate prospecting tools,70,23.0,10.14,7,2.1
"H - Competitors, brand, and feature",shilo real estate,70,,25.16,7,1.2
C - Scripts and lead types,fsbo script,50,0.0,0.23,9,4.5
C - Scripts and lead types,real estate buyer scripts,50,0.0,3.84,13,4.5
C - Scripts and lead types,real estate follow up scripts,50,0.0,0.0,5,4.5
C - Scripts and lead types,fsbo leads,50,1.0,31.01,53,4.5
C - Scripts and lead types,fsbo scripts,50,2.0,0.23,9,4.2
C - Scripts and lead types,real estate seller scripts,50,4.0,4.1,14,3.6
A - Product category / software,ai assistant for real estate agents,50,7.0,36.98,21,2.9
E - Call skills and conversion,how to get better at cold calling,50,9.0,10.07,45,2.6
"H - Competitors, brand, and feature",ai call summary,50,19.0,14.35,31,1.7
A - Product category / software,real estate prospecting software,50,47.0,0.0,15,0.9
A - Product category / software,ai sales coaching software,50,,65.6,14,0.8
B - Cold calling / prospecting,real estate prospecting ideas,40,0.0,12.89,19,3.6
B - Cold calling / prospecting,real estate prospecting tips,40,0.0,12.89,19,3.6
B - Cold calling / prospecting,best time to cold call real estate,40,0.0,0.0,9,3.6
C - Scripts and lead types,listing presentation scripts,40,0.0,3.45,11,3.6
D - Objection handling,real estate objection handling,40,0.0,2.22,12,3.6
D - Objection handling,objection handling real estate,40,0.0,2.22,12,3.6
D - Objection handling,real estate objections,40,1.0,0.27,3,3.6
D - Objection handling,real estate objection handlers,40,0.0,2.22,12,3.6
D - Objection handling,i need to think about it objection,40,0.0,0.0,1,3.6
F - Personas and roles,how to build a real estate team,40,0.0,0.2,6,3.6
B - Cold calling / prospecting,cold calling for real estate agents,40,26.0,37.9,22,1.1
C - Scripts and lead types,real estate prospecting scripts,30,0.0,0.0,12,2.7
E - Call skills and conversion,how to convert real estate leads,30,0.0,0.0,2,2.7
E - Call skills and conversion,lead follow up real estate,30,2.0,0.0,4,2.5
A - Product category / software,ai sales call assistant,30,32.0,94.52,36,0.7
A - Product category / software,real time sales coaching,20,0.0,19.62,35,1.8
D - Objection handling,real estate objection handling scripts,20,0.0,0.0,LOW,1.8
E - Call skills and conversion,qualifying buyers real estate,20,0.0,0.0,LOW,1.8
F - Personas and roles,real estate isa training,20,0.0,0.0,5,1.8
F - Personas and roles,real estate team leader,20,0.0,0.0,LOW,1.8
"H - Competitors, brand, and feature",cold calling role play,20,2.0,7.71,43,1.7
C - Scripts and lead types,real estate phone scripts,20,10.0,9.42,4,1.0
C - Scripts and lead types,how to get fsbo listings,20,10.0,0.0,68,1.0
A - Product category / software,call coaching software,20,22.0,47.99,9,0.6
A - Product category / software,sales call coaching software,20,,0.0,6,0.3
C - Scripts and lead types,just listed scripts,10,0.0,0.0,11,0.9
C - Scripts and lead types,just sold scripts,10,0.0,6.05,5,0.9
C - Scripts and lead types,real estate voicemail script,10,0.0,0.86,6,0.9
C - Scripts and lead types,absentee owner leads,10,0.0,15.72,39,0.9
D - Objection handling,common real estate objections,10,0.0,0.0,2,0.9
D - Objection handling,buyer objections real estate,10,0.0,0.0,3,0.9
C - Scripts and lead types,just listed just sold script,10,5.0,1.39,11,0.7
G - Adjacent tools and category,power dialer real estate,10,7.0,23.17,32,0.6
C - Scripts and lead types,best real estate scripts,10,16.0,2.57,33,0.4
E - Call skills and conversion,real estate appointment setting,10,13.0,0.0,24,0.4
C - Scripts and lead types,expired listing cold call script,10,22.0,0.0,33,0.3
D - Objection handling,seller objections real estate,10,29.0,0.0,,0.3
E - Call skills and conversion,how to overcome call reluctance,10,26.0,3.5,38,0.3
A - Product category / software,real time call coaching,10,,0.0,36,0.2
A - Product category / software,ai call coaching,10,,54.58,67,0.2
A - Product category / software,real estate cold calling software,10,38.0,0.0,LOW,0.2
A - Product category / software,ai cold calling assistant,10,,29.47,73,0.2
B - Cold calling / prospecting,real estate cold calling tips,10,37.0,0.0,86,0.2
B - Cold calling / prospecting,cold calling tips real estate,10,37.0,0.0,86,0.2
B - Cold calling / prospecting,cold calling for beginners,10,,0.0,59,0.2
D - Objection handling,how to handle objections in real estate,10,,0.0,LOW,0.2
D - Objection handling,not interested objection,10,,0.0,2,0.2
E - Call skills and conversion,appointment setting scripts real estate,10,45.0,0.0,LOW,0.2
E - Call skills and conversion,how to improve cold calling skills,10,,0.0,33,0.2
E - Call skills and conversion,cold calling confidence,10,42.0,0.0,40,0.2
G - Adjacent tools and category,real estate sales tools,10,,0.0,,0.2
G - Adjacent tools and category,real estate call tracking,10,,43.02,57,0.2
D - Objection handling,overcoming objections in real estate,10,59.0,0.0,23,0.1
A - Product category / software,real-time call coaching software,0,,0.0,,0.0
A - Product category / software,real estate call coaching,0,,0.0,,0.0
A - Product category / software,real estate call coaching software,0,,0.0,,0.0
A - Product category / software,best real estate call coaching software,0,,0.0,,0.0
A - Product category / software,ai call coaching software,0,,0.0,,0.0
A - Product category / software,live call coaching,0,,0.0,,0.0
A - Product category / software,prospecting software for real estate agents,0,,0.0,,0.0
A - Product category / software,real time sales assistant,0,,0.0,,0.0
A - Product category / software,real estate sales coaching software,0,,0.0,,0.0
A - Product category / software,real estate appointment booking software,0,,0.0,,0.0
A - Product category / software,real estate prospecting app,0,,0.0,,0.0
A - Product category / software,real estate cold calling app,0,,0.0,,0.0
B - Cold calling / prospecting,real estate lead generation calls,0,,0.0,,0.0
B - Cold calling / prospecting,real estate phone prospecting,0,,0.0,,0.0
B - Cold calling / prospecting,is cold calling dead in real estate,0,,0.0,,0.0
B - Cold calling / prospecting,real estate cold calling laws,0,,0.0,,0.0
B - Cold calling / prospecting,cold calling do not call list real estate,0,,0.0,,0.0
B - Cold calling / prospecting,how many calls to get a listing,0,,0.0,,0.0
C - Scripts and lead types,real estate listing appointment script,0,,0.0,,0.0
C - Scripts and lead types,price reduction script real estate,0,,0.0,,0.0
C - Scripts and lead types,sphere of influence scripts,0,14.0,0.0,,0.0
C - Scripts and lead types,past client scripts real estate,0,,0.0,,0.0
C - Scripts and lead types,real estate referral scripts,0,,0.0,,0.0
C - Scripts and lead types,investor cold calling scripts,0,,0.0,,0.0
C - Scripts and lead types,wholesale real estate cold calling scripts,0,,0.0,,0.0
C - Scripts and lead types,probate real estate scripts,0,,0.0,,0.0
D - Objection handling,already have an agent objection,0,,0.0,,0.0
D - Objection handling,i already have a realtor objection,0,,0.0,,0.0
D - Objection handling,just looking objection,0,,0.0,,0.0
D - Objection handling,price too high objection real estate,0,,0.0,,0.0
D - Objection handling,commission objection real estate,0,,0.0,,0.0
D - Objection handling,we want to sell ourselves objection,0,,0.0,,0.0
D - Objection handling,market is bad objection,0,,0.0,,0.0
D - Objection handling,wait for spring objection,0,,0.0,,0.0
D - Objection handling,not ready to sell objection,0,,0.0,,0.0
D - Objection handling,send me listings objection,0,,0.0,,0.0
D - Objection handling,call me later objection,0,,0.0,,0.0
D - Objection handling,bad experience with agent objection,0,,0.0,,0.0
E - Call skills and conversion,how to start a real estate cold call,0,,0.0,,0.0
E - Call skills and conversion,how to start a prospecting call,0,,0.0,,0.0
E - Call skills and conversion,how to close for an appointment,0,,0.0,,0.0
E - Call skills and conversion,closing for the appointment real estate,0,,0.0,,0.0
E - Call skills and conversion,how to book more appointments real estate,0,,0.0,,0.0
E - Call skills and conversion,how to build rapport on a cold call,0,,0.0,,0.0
E - Call skills and conversion,building rapport real estate,0,,0.0,,0.0
E - Call skills and conversion,how to qualify a real estate lead,0,,0.0,,0.0
E - Call skills and conversion,qualifying sellers real estate,0,,0.0,,0.0
E - Call skills and conversion,how to keep control of a sales call,0,,0.0,,0.0
E - Call skills and conversion,how to handle gatekeepers,0,,0.0,,0.0
E - Call skills and conversion,real estate phone skills,0,,0.0,,0.0
E - Call skills and conversion,how to handle rejection cold calling,0,,0.0,,0.0
F - Personas and roles,isa scripts real estate,0,,0.0,,0.0
F - Personas and roles,how to be a good isa,0,,0.0,,0.0
F - Personas and roles,new realtor prospecting,0,,0.0,,0.0
F - Personas and roles,how to coach real estate agents,0,,0.0,,0.0
F - Personas and roles,real estate prospecting for new agents,0,,0.0,,0.0
G - Adjacent tools and category,best crm and dialer for real estate,0,,0.0,,0.0
"H - Competitors, brand, and feature",real estate ai coaching,0,,0.0,,0.0
"H - Competitors, brand, and feature",ai roleplay real estate,0,,0.0,,0.0
"H - Competitors, brand, and feature",real estate roleplay practice,0,,0.0,,0.0
"H - Competitors, brand, and feature",real estate sales script generator,0,,0.0,,0.0
"H - Competitors, brand, and feature",ai script for real estate,0,,0.0,,0.0
"H - Competitors, brand, and feature",real time objection handling,0,,0.0,,0.0
"H - Competitors, brand, and feature",automatic call notes,0,,0.0,,0.0
"H - Competitors, brand, and feature",ai note taker for sales calls,0,,0.0,,0.0
"H - Competitors, brand, and feature",call transcription real estate,0,,0.0,,0.0
"H - Competitors, brand, and feature",real time sales help,0,,0.0,,0.0
"H - Competitors, brand, and feature",live coaching for sales calls,0,,0.0,,0.0
"H - Competitors, brand, and feature",ask sayso,0,,0.0,,0.0
"H - Competitors, brand, and feature",asksayso,0,,0.0,,0.0
"H - Competitors, brand, and feature",sayso real estate,0,,0.0,,0.0
